id,name,slug,description,companies,logo
1224,Windows,windows,,,
126,Kinetica,kinetica,,[4357],
1256,Majiro,majiro,,,
1054,I.K.E.M.E.N,ikemen,,,
1109,idTech3,idtech3,,,
1063,Cardinal Game Engine,cardinal-game-engine,,,
94,FaceGen,facegen,,,
1137,Go,go,,,
1278,MS30,ms30,,,
1147,Invention,invention,,,
171,Flixel,flixel,,,
1282,Croc 2,croc-2,,,
283,Ice-Peak Engine,ice-peak-engine,,,
1749,Dendry,dendry,Dendry is a storylet- and quality-based engine for hypertext interactive fiction narratives. It has functioned in part as a successor to the defunct Varytale platform.,,
1176,Meep,meep,,,
767,Frostbite 2,frostbite-2,"A game engine developed by EA Digital Illusion CE (mostly known as DICE), it was used to create Battlefield, Need for Speed, and some other games. This version was outdated in March 2013, due to Frostbite's new version, now called ""Frostbite™ 3"".",[94],407.0
1186,Rockstar Advanced Game Engine,rockstar-advanced-game-engine,,,
1484,Ebitengine,ebitengine,Ebitengine (Eh-Bee-Ten-Gin) (formerly known as Ebiten) is an open source game engine for the Go programming language. Ebitengine's simple API allows you to quickly and easily develop 2D games that can be deployed across multiple platforms.,,227.0
389,Pixi,pixi,,,
502,Autodesk Beast,autodesk-beast,,,
1608,Action Editor 4,action-editor-4,Alternative spelling: Action Editor(Anton),[37971],
836,namco,namco,,,
1073,Varytale,varytale,,,
257,BASIC,basic,,,
1623,Glitch Engine,glitch-engine,Custom engine made for Diabotical. Been in development for 10 years.,[10557],339.0
617,Yuna Engine,yuna-engine,,,
371,Gideros,gideros,,,
347,Visionaire,visionaire,,,
370,Spritekit,spritekit,,,
1498,EngineBlack,engineblack,"EngineBlack is a cross platform technology, developed by StudioBlack Games, for building casual to mid-sized video games in 2D and 3D.

The Engine was made available to other developers in 2010 and was used into 2020, with releases on most platforms released during that time.",[46879],240.0
416,Evolution Engine,evolution-engine,,,
1121,BabylonJS,babylonjs,,,
33,Forgelight Engine,forgelight-engine,,,
452,Saber 3D engine,saber-3d-engine,,,
286,Silent Storm Engine,silent-storm-engine,,,
132,Voxel Plus,voxel-plus,,,
92,XnGine,xngine,,,
1064,JEng,jeng,"JEng (James's Engine) is a C++ DirectX graphics engine which has been developed by J Roberts since 2000. 

Version 5 currently integrates:
- DirectX11
- OpenVR
- Bullet Physics
- Ogg Vorbis
- VLC",,
1065,Texture,texture,,,
1294,Havok Vision Game Engine,havok-vision-game-engine,,,
93,Radiant AI,radiant-ai,,,
1687,AeroGP,aerogp,,,
628,Vulkan,vulkan,,,
1134,skaza engine,skaza-engine,,,
167,Cube Engine,cube-engine,,,
1220,menduz engine,menduz-engine,,,
1114,StepMania,stepmania,,,
319,Cougar Adventure Engine,cougar-adventure-engine,,,
1358,DOSBox,dosbox,,,
406,Kapow Systems 3D,kapow-systems-3d,,,
408,Un,un,,,
424,Homemade,homemade,,,
426,pyglet,pyglet,,,
469,React Native,react-native,,,
664,Asylum,asylum,,,
175,Dark Side,dark-side,,,
176,Earth-4,earth-4,,,
1132,Fuse MOS,fuse-mos,,,
275,The Banner Saga Engine,the-banner-saga-engine,,,
609,Pie in the Sky,pie-in-the-sky,,,
345,Open Dynamics Engine,open-dynamics-engine,,,
1365,DIV Game Creator,div-game-creator,,,
177,Nebula Device,nebula-device,,,
1106,Ego Engine,ego-engine--1,,,
307,Hammerhead,hammerhead,,,
705,Alien Shooter Engine,alien-shooter-engine,,,
218,node.js,node-dot-js,,,
1757,Sonic GDK,sonic-gdk,,,
1105,Game Maker Studio 2,game-maker-studio-2,,,
309,Phoenix Engine (Wolfire),phoenix-engine-wolfire,,,
500,Eclipse,eclipse,Eclipse MMO (massive multiplayer online) game engine (original or modified) developed by Void Production LLC. The company was acquired by Arktos Entertainment Group in 2008.,,
17,Havok Physics,havok-physics,,,
49,Pyrogenesis,pyrogenesis,,,
1138,System-NNN,system-nnn,,,
971,Sega Chihiro,sega-chihiro,,,
978,Crystal Mines,crystal-mines,,,
816,Yamaneko Engine,yamaneko-engine,"Nihon Falcom's in-house engine used for various games over the years, improvements made to it between games, usually confirmed by dataminers going through game files after a release.",,
1796,DragonRuby,dragonruby,,,445.0
979,Mars VR Engine,mars-vr-engine,,,
1179,stockfish,stockfish,,,
188,Snowblind engine,snowblind-engine,,,
981,Blazing Renderer,blazing-renderer,,,
1692,Sonic Worlds Delta,sonic-worlds-delta,,,
430,ios,ios,,,
315,FAME Tech,fame-tech,,,
108,Amityville,amityville,,,
111,Groovie,groovie,,,
158,Xed,xed,,,
1739,Myth Engine,myth-engine,"O motor gráfico da Mythdev é uma solução personalizada compatível com DirectX 9 e DirectX 12, otimizada para jogos massivos com muitos jogadores. Ele possui sistemas únicos de clima dinâmico, transições de ambiente suaves e tecnologia de streaming de cenários sem cortes, garantindo alto desempenho com baixa perda de FPS, mesmo em situações de alta densidade gráfica e interações complexas.",,
159,Playground SDK,playground-sdk,,,
1160,Quakespasm,quakespasm,,,
1164,Cardboard,cardboard,,,
203,UE4 - duplicate,ue4-duplicate,,,
1213,ADE-704A,ade-704a,,,
230,Gepard 3D engine,gepard-3d-engine,,,
320,Gamebook Adventures Engine,gamebook-adventures-engine,,,
323,pc,pc,,,
1335,DATA EAST MLC SYSTEM HARDWARE,data-east-mlc-system-hardware,,,
338,Z-Engine,z-engine,,,
1353,EAGL 2,eagl-2,,,
501,Silverback Engine,silverback-engine,,,
128,BitSquid,bitsquid,,,
1452,LEAD Engine,lead-engine,"LEAD Engine is a game engine created by Ubisoft for Splinter Cell: Conviction & Blacklist. It is an evolution of the game engine used in the previous Splinter Cell game, Chaos Theory (Unreal Engine 2.5)",[38],
301,CSS,css,,,
462,"Custom HTML5, JavaScript, CSS",custom-html5-javascript-css,,,
60,Prism3D,prism3d,,,
1345,GDevelop,gdevelop,"GDevelop is a 2D and 3D cross-platform, free and open-source game engine, which mainly focuses on creating PC and mobile games, as well as HTML5 games playable in the browser.",,281.0
1679,Story Machine,story-machine,"A No-Code General Purpose 2D Game Engine
Story Machine is a powerful no-code game engine designed to make creation simple & put the power in the hands of the storyteller",,371.0
457,Spellwrath (Custom Engine),spellwrath-custom-engine,,,
284,Windows Animation Package,windows-animation-package,"Windows Animation Package (or WAP) is a pioneering Windows 3x graphics engine by Monolith Productions co-founder Brian Goble. It was one of the first 2D gaming engines with flicker-free software sprites created specifically for Windows. WAP was first used in the independent platform game The Adventures of MicroMan released in April 1993.

An updated version of the engine created for Monolith Productions, called WAP 32 using DirectX, was later used for the likes of Claw (1997), Get Medieval (1998) and Gruntz (1999). A special version of MicroMan was made for the ""Monolith CD"" (1995) and a more recent one was made for HipSoft.",[407],
1004,Konami Hornet,konami-hornet,,,
1269,V-Nuke,v-nuke,,,
565,phaser.io,phaser-dot-io,,,
1161,flowlab,flowlab,,,
665,Soft Engine 2.0,soft-engine-2-dot-0,,,
82,MonkeyX,monkeyx,,,
1563,Playdate SDK,playdate-sdk,,,
91,PathEngine,pathengine,,,26.0
1066,Windrift,windrift,,,
1758,FalcoEngine,falcoengine,"Free cross-platform 3D game engine with C# scripting, Bullet physics and OpenAL audio.",[20815],412.0
619,Flare,flare,,,
1122,Angular,angular,,,
745,Origin FX,origin-fx,,,
1187,Hiber Engine,hiber-engine,,,
1277,MS23,ms23,,,
1203,.ZnZin,dot-znzin,,,
1207,LibUSB & HIDAPI,libusb-and-hidapi,,,
256,Siglus,siglus,Siglus Engine is a visual novel engine developed by Visual Art's to replace their former Real Live engine.,[2648],
293,jMonkeyEngine,jmonkeyengine,,,
295,GameZ,gamez,,,
1298,ExEn (Execution Engine),exen-execution-engine,,,
313,Beam Next Generation,beam-next-generation,,,
330,Trinigy Vision Engine,trinigy-vision-engine,,,
335,Black Hawk engine,black-hawk-engine,,,
342,MEGA Engine,mega-engine,,,
363,Film Window,film-window,,,
367,Photex,photex,,,
627,RealSpace 2,realspace-2,,,
625,Starling,starling,,,
666,Soft Engine Lite,soft-engine-lite,,,
1285,FOCAL,focal,,,
292,VRAGE,vrage,,,
290,Gouache Engine,gouache-engine,,,
593,Allegro,allegro,"Allegro is a cross-platform library mainly aimed at video game and multimedia programming. It handles common, low-level tasks such as creating windows, accepting user input, loading data, drawing images, playing sounds, etc. and generally abstracting away the underlying platform. However, Allegro is not a game engine: you are free to design and structure your program as you like.",,
1491,CXD9615GB Emotion Engine,cxd9615gb-emotion-engine,"The Emotion Engine is the CPU for Sony's PlayStation 2, developed in a Sony - Toshiba cooperation and introduced in 1999.",,235.0
70,The Sims 3 Engine,the-sims-3-engine,,,
1010,Bemani System 573 Digital,bemani-system-573-digital,,,
1036,Bemani PC Type 4,bemani-pc-type-4,,,
622,Aether Engine,aether-engine,,,
51,3Space,3space,,,
818,proprietary engine [ by Team Ninja ],proprietary-engine-by-team-ninja,,,
1057,Capcom VS SNK 2 Engine,capcom-vs-snk-2-engine,,,
373,HaxeFlixel,haxeflixel,,,
702,BYOND,byond,,,
77,AGOS,agos,,,
1759,BreakGOLD,breakgold,,,
328,Nocturne Engine,nocturne-engine,,,
1689,Unity 6,unity-6,"Discover faster rendering, powerful lighting options, end-to-end multiplayer workflows, dynamic AI capabilities, and deeper support for mobile web runtimes.",[3067],379.0
447,PINA,pina,,,
80,HydroEngine,hydroengine,,,
120,Enfusion,enfusion,,,
83,TDRPG Engine,tdrpg-engine,,,
122,Chameleon,chameleon,,,
125,Voxel Space,voxel-space,,,
137,SlaveDriver,slavedriver,,,
170,Objectnaut,objectnaut,,,
181,Kapow,kapow,,,
191,VR-6,vr-6,,,
194,isiMotor2,isimotor2,,,
1219,QZandronum,qzandronum,,,
224,X3 Reality,x3-reality,,,
226,X Engine,x-engine,,,
227,GEM,gem,,,
233,Virtual Dream,virtual-dream,,,
241,Dragon Co's engine,dragon-cos-engine,,,
259,Heroic Driving Engine,heroic-driving-engine,,,
266,Virtual World Inventor,virtual-world-inventor,,,
303,AJAX,ajax,,,
326,Quantum3,quantum3,,,
356,Turbulenz Engine,turbulenz-engine,,,
368,Dx Studio,dx-studio,,,
1420,Delta Engine,delta-engine,,,
140,Ecstasy Engine,ecstasy-engine,,,
492,StoryForge,storyforge,,[12931],
468,Blender Game Engine,blender-game-engine,,,
1732,Volatile3D,volatile3d,"The Volatile3D engine uses DirectX 7.0 (later ported to DirectX 9.0). It is fully compatible with the BSP level format, supports skeletal animation of models, chrome effects, and bump mapping. There is basic player physics.",[59979],397.0
441,ChoiceScript,choicescript,,,
300,HTML,html,,,
1181,Linguini Engine,linguini-engine,,,
1197,react,react,,,
1349,AliceSoft System4.X,alicesoft-system4-dot-x,,,
1550,Whale,whale,,,
73,Babel engine,babel-engine,,,
361,Top Hat Engine,top-hat-engine,,[10371],46.0
1320,TBH Game Engine,tbh-game-engine,,,
1693,Simple Sonic Worlds,simple-sonic-worlds,,,
413,Buildbox,buildbox,"Buildbox is a no-code development platform focused on game creation without programming, coding or scripting. The core audience for the software is entrepreneurs, designers and other gaming enthusiast without prior game development or coding knowledge.",,127.0
213,Java,java,,,
387,Praxis,praxis,,,
1039,Object Locative Environment Coordinate System,object-locative-environment-coordinate-system,,,
778,YU-RIS,yu-ris,,,
197,Enforce,enforce,,,
1315,Raycast Game Maker,raycast-game-maker,,,
693,Cordova,cordova,,,
1344,Piskel,piskel,,,
353,BRender,brender,,,
904,After Dark,after-dark,,,
1180,FMOD,fmod,,,
138,Jedi,jedi,,,
1140,Chess Engine,chess-engine,,,
1204,QuakeWorld,quakeworld,,,
399,Qt,qt,,,
1143,Tesseract,tesseract,,,
1366,RobustToolbox,robusttoolbox,,,
774,Mohawk,mohawk,,,
1111,Chowdren,chowdren,,,
1058,Capcom Sports Club Engine,capcom-sports-club-engine,,,
115,Video Reality,video-reality,,[1327],
1291,Pinball Construction Set,pinball-construction-set,,,
1214,ADE-6291,ade-6291,,,
1216,Immortal Engine,immortal-engine,,,
359,BlitzMax,blitzmax,,,
364,Argon,argon,,,
393,Sephius Engine,sephius-engine,,,
396,BattleCore,battlecore,,,
841,C0var1ant RPG Engine,c0var1ant-rpg-engine,,,
164,MacVenture,macventure,,,
937,RenderDragon,renderdragon,,,137.0
1115,Coretech 3,coretech-3,,,
840,RSPiX,rspix,,[20456],
1273,VeChain,vechain,,,
1129,Adventure Game Toolkit (AGT),adventure-game-toolkit-agt,,,
872,HOPA Engine,hopa-engine,,,
278,The Sims 2 Engine,the-sims-2-engine,,,
1449,Pure3D,pure3d,"Pure3D was an engine developed by Radical Entertainment between 2001 and 2005, used in Hulk, The Simpsons: Hit & Run, The Incredible Hulk: Ultimate Destruction.",,
1705,Stranger's engine,strangers-engine,"Engine of Oddworld: Stranger's Wrath and The Brutal Ballad of Fangus Klot, officially no name to the proprietary engine but was reffered to Stranger's engine by Lorne Lanning",[727],
753,Quixel Megascans,quixel-megascans,,,
1697,FLYM,flym,"Created by Space Dream Factory and used in ""Babylon 5: I've Found Her - Danger and Opportunity"" and ""Homeplanet""",,
1006,Namco System 246,namco-system-246,,,
1594,Lunar Magic,lunar-magic,Lunar Magic is a level editor for Super Mario World.,[40940],315.0
168,Angelica 3D,angelica-3d,,,
757,ADV+++,adv-plus-plus-plus,,,
156,Clickteam Fusion,clickteam-fusion,"Clickteam Fusion 2.5, or simply Fusion 2.5 is an upgrade from Clickteam featuring a highly optimised runtime and new exporters. It is the successor to Multimedia Fusion 2 and marks an end to the The Games Factory brand. Likewise with Multimedia Fusion 2, there are multiple editions of the software, sharing the same interface but have different runtime agreements and features.
(from ClickWiki)",[4545],436.0
758,proprietary engine [ by Pearl Abyss ],proprietary-engine-by-pearl-abyss,,,
1286,Super Contra,super-contra,,,
376,Adventure Maker,adventure-maker,,,
1324,GameStudio,gamestudio,,,
190,Omen Engine,omen-engine,,,
1103,Custom C++ Backend,custom-c-plus-plus-backend,,,
1040,Jade Engine,jade-engine,,,
1059,Modified Internal Engine,modified-internal-engine,,,
1062,FIFA International Soccer,fifa-international-soccer,,,
169,Eparch 2D,eparch-2d,,,
325,Bluepoint Engine,bluepoint-engine,,,
1201,Discord.py,discord-dot-py,,,
231,SigE,sige,,,
238,Sprint,sprint,"Sprint is an engine by Presto Studios which was used in several of their games, including Myst III: Exile.",,
243,A-Life,a-life,,,
247,SurRender 3D,surrender-3d,,,
250,Beelzebub,beelzebub,,,
405,Tease2D,tease2d,,,
463,super fx,super-fx,,,
466,GH Engine,gh-engine,,,
1495,Delta3D,delta3d,Delta3D is the engine used to develop VESSEL Damage Control Trainer.,,
1169,Solarus,solarus,"Solarus is a multi-platform, free and open-source 2D game engine, written in C++. It is primarily dedicated to Action-RPGs, also called Zelda-likes, but can actually do much more.",[46429],237.0
1127,adrift,adrift,,,
1414,Vavoom,vavoom,"Vavoom is a source port based on sources of Doom, Heretic, Hexen and a little bit from Quake. Supported platforms are Windows and Linux.",,169.0
1794,neoSphere,neosphere,"A lightweight game engine and development platform using JavaScript for game coding, based on the original Sphere engine by Chad Austin but with a redesigned, modern API and brand-new command-line development tools.",,444.0
310,Blam! Engine,blam-engine,,,
1067,Text Adventure Development System (TADS),text-adventure-development-system-tads,,,
1068,Hugo,hugo,,,
1148,NeXAS,nexas,,,
366,Autodesk Stingray,autodesk-stingray,,,
566,web gl,web-gl,,,
1615,HackerSM64,hackersm64,"A Super Mario 64 decompilation repo based on CrashOveride95/ultrasm64 that aims to provide a flexible, easy-to-use base for creating romhacks.",,
178,HPL,hpl,,,
217,Lightweight Java Game Library,lightweight-java-game-library,,,
697,I-Novae Engine,i-novae-engine,,,
1075,LightForce,lightforce,,,
612,Quicksilver X,quicksilver-x,,,
272,KiriKiri,kirikiri,,,
1287,Atari 6502,atari-6502,,,
1236,Namco System,namco-system,,,
180,Marmoset,marmoset,,,
821,E-mote,e-mote,,,
749,Zod Engine,zod-engine,,,
547,TW Engine 1,tw-engine-1,TW Engine 1 is the first engine developed by The Creative Assembly for their Total War series.,[111],79.0
86,IceWave,icewave,,,
1313,web3,web3,,,
427,Asura engine,asura-engine,,,
1112,Sunshine,sunshine,,,
72,Odyssey,odyssey,,[2],
1196,LegendO,legendo,,,
1218,Minetest,minetest,,,
222,True3D,true3d,,,
85,Gex engine,gex-engine,,,
1237,Super Namco System,super-namco-system,,,
252,ZEN,zen,,,
260,Octane Engine,octane-engine,,,
1323,Killer Queen,killer-queen,,,
1333,ALLS UX,alls-ux,,,
375,Abyss,abyss,,,
378,Lassie Shepherd,lassie-shepherd,,,
383,Sparkle Engine,sparkle-engine,,,
403,T-REX Sandbox,t-rex-sandbox,,,
542,Bright Light Halogen,bright-light-halogen,,[2142],
545,Duplicate 669,duplicate-669,,,
750,Unity 2019,unity-2019,,,
569,Wolfenstein RPG,wolfenstein-rpg,,,
1125,Ftech X,ftech-x,,,
779,InnocentGrey,innocentgrey,,,
1177,BepuPhysics,bepuphysics,,,
106,ROMU,romu,,,
96,SAGA,saga,,,
410,android,android,,,
98,Neon Engine,neon-engine,,,
1441,Spark,spark,"Spark (Formerly Evolution), was an engine developed by Unknown Worlds Entertainment (now part of Krafton studios) for the game Natural Selection 2 (2012).",[856],203.0
751,Visual Basic,visual-basic,,,
819,Ikura GDL,ikura-gdl,,,
689,GlyphX Engine,glyphx-engine,,,
972,Sega Lindbergh,sega-lindbergh,,,
1361,calico,calico,,,
133,Terrabuilder,terrabuilder,,,
166,enhanced Adventure Island,enhanced-adventure-island,,,
1005,Pheonix 3D engine,pheonix-3d-engine,,,
670,Jomini Engine,jomini-engine,,,
1135,AIMS,aims,,,
1535,Arcade Game Studio,arcade-game-studio,"Arcade Game Studio is an engine that can make classic 80's retro games. It offers many tools to build games that look and feel like 80's games. Add your stuff, very lightweight, able to be played in almost all Windows games, and has a built-in editor. No coding is required, you can make a game in under an hour.",,259.0
550,Flash CS6,flash-cs6,,,
432,Phoesion GE,phoesion-ge,,,
379,Sahara Engine (custom built),sahara-engine-custom-built,,,
1785,id Tech 8,id-tech-8,,,
153,LyN,lyn,,,
1060,DikuMUD,dikumud,,,
1061,Crimson Engine,crimson-engine,,,
1274,WillPlus,willplus,,,
100,Nod Engine,nod-engine,,,
101,Virtual Theatre,virtual-theatre,,,
384,CharLib,charlib,,,
1113,Sunshine Engine,sunshine-engine,,,
582,Google Play Services,google-play-services,,,
503,Simplygon,simplygon,,,
1189,MapTools,maptools,,,
196,FXEngine,fxengine,,,
1206,GLM,glm,,,
244,Vsim,vsim,,,
1326,OverWorld,overworld,,,
331,Nitrous,nitrous,"Nitrous is a next-generation game engine designed to handle enormous amounts of visual and gameplay complexity, from 10,000+ simpler units to 1,000 highly complex units and environments.",,
415,Internal Piranha Byte's Engine,internal-piranha-bytes-engine,,,
429,AngularJs,angularjs,,,
1438,SWARM,swarm,"SWARM was created by Strangelite Studios, for the game Starship Troopers (2005).  This engine is not to be confused with Saber Interactive Swarm Engine used in World War Z (2019)",,
586,Spiller,spiller,,,
677,Warriors engine,warriors-engine,,,
679,BigBang,bigbang,,,
182,Enigma engine,enigma-engine,,,
183,RAD Engine 4.0,rad-engine-4-dot-0,,,
160,Autodesk,autodesk,,,
1710,Syrup,syrup,"An advanced emulation engine to bring 8/16/32-bit games to modern consoles.

SYRUP allows developers to interface retro games with modern consoles like the PlayStation 5 or Nintendo Switch.",,388.0
1343,Super Mario Bros. S,super-mario-bros-s,,,
1183,COLDc,coldc,,,
150,Onyx Engine,onyx-engine,,,
1053,M.U.G.E.N,mugen,,,
694,nine-gine,nine-gine,,,
67,MAX-FX,max-fx,,,
381,Valhalla,valhalla,,,
392,001,001,,,
210,Visceral Engine,visceral-engine,,,
386,Whale 2,whale-2,,,
211,Dragonfly,dragonfly,,,
511,Genesis3D,genesis3d,,,
110,Labyrinth Engine,labyrinth-engine,,,
1304,web,web,,,
740,Touch Video,touch-video,,,
142,AGI,agi,,,
145,GrimE,grime,,,
157,GAIA,gaia,,,
1163,MechWarrior 2,mechwarrior-2,,,
215,ASKA,aska,,,
1221,Strikeout,strikeout,,,
223,Beautiful Voxel,beautiful-voxel,,,
1225,PokeSDK,pokesdk,,,
228,Prometheus In-Game Engine,prometheus-in-game-engine,,,
248,StarLancer Engine,starlancer-engine,,,
388,download,download,,,
390,Alan Wake engine,alan-wake-engine,,,
409,GameSalad,gamesalad,,,
446,Icarus Platform,icarus-platform,,,
450,Dulst,dulst,A web based Card game maker.,,
478,a000ff,a000ff,,,
508,Alternativa Engine,alternativa-engine,,,
1557,FrooxEngine,frooxengine,,[49954],
571,broww,broww,,,
600,WangReal Engine,wangreal-engine,,,
615,Sensible Soccer,sensible-soccer,,,
1629,Max-A-Flex,max-a-flex,Porting architecture from Atari consoles to Arcade Cabinets,,
672,Voyager Engine,voyager-engine,,,
675,Thorskan Engine,thorskan-engine,,,
678,Unchained Engine,unchained-engine,,,
756,SeriousProton,seriousproton,,,
764,FluffOS,fluffos,,,
815,Messiah Engine,messiah-engine,,,
161,STEAM engine,steam-engine,,,
1742,Adventure Creation Kit,adventure-creation-kit,Adventure Creation Kit (ACK) is a game development tool by Chris Hopkins that allows you design and play top-down 2D tile-based RPGs like Ultima IV & V of yore.,,
512,Taito FX-1,taito-fx-1,,,
179,Ren'Py Visual Novel Engine,renpy-visual-novel-engine,"Ren'Py is a visual novel engine – used by thousands of creators from around the world – that helps you use words, images, and sounds to tell interactive stories that run on computers and mobile devices. These can be both visual novels and life simulation games. The easy to learn script language allows anyone to efficiently write large visual novels, while its Python scripting is enough for complex simulation games.

Ren'Py is open source and free for commercial use.",,89.0
985,Logic Pro,logic-pro,,,
1288,SUGAR,sugar,,,
516,Krome Studios Engine,krome-studios-engine,,,
1263,Oynx Game Solutions,oynx-game-solutions,,,
973,Sega ALLS,sega-alls,,,
1603,VCE,vce,"Network middleware for massive client-server applications with PC cluster servers. It supports Win32, Linux, and PlayStation2 platform.",[53943],322.0
497,Hedgehog Engine,hedgehog-engine,,,199.0
1119,Ftech,ftech,,,
1330,Neptune,neptune,,,
202,ioquake3,ioquake3,,,
1070,XRay-Monolith,xray-monolith,,,
362,Foundation Engine,foundation-engine,,,
769,GEM2,gem2,,,
596,FAudio,faudio,,,
395,paprastas,paprastas,,,
1188,Glulx,glulx,,,
1725,NetMission,netmission,,[59399],
1071,NekoSDK,nekosdk,,,
88,Genome,genome,,,
521,Blukpast (homebrew),blukpast-homebrew,,,
21,TheEngine,theengine,,[5851],
825,MADNESS Engine,madness-engine,,,
107,Firaxis LORE,firaxis-lore,,,
207,Genie Engine,genie-engine,,,
232,0gf3. gine,0gf3-gine,,,
1233,MAGE,mage,,,
242,Super Star Wars,super-star-wars,,,
249,Forsaken World Engine,forsaken-world-engine,,,
467,BTZ,btz,,,
472,ENIN Engine,enin-engine,,,
473,Sketcher Engine,sketcher-engine,,,
483,Intersect,intersect,,,
534,SCI0,sci0,,,
539,C4 Engine,c4-engine,,,
540,War3,war3,,,
1667,Rom Manager 2 C,rom-manager-2-c,Convert sm64 levels made with rom manager to sm64 decomp compliant C files.,[43634],
680,Cyllista Engine,cyllista-engine,,,
752,The Alan Wake Engine,the-alan-wake-engine,,,
759,proprietary engine [ by Grinding Gear Games ],proprietary-engine-by-grinding-gear-games,,,
781,Descent Engine,descent-engine,,,
706,NetImmerse,netimmerse,,,
474,Brigitte,brigitte,,,
575,CryEngine 5,cryengine-5,,,
487,Turbine G3,turbine-g3,,,
773,(CN) GameEngine 5,cn-gameengine-5,,,
939,DreamFactory,dreamfactory,,,
775,HyperCard,hypercard,,,
1355,Marmalade,marmalade,,,
1072,A.G.O.N. (Ancient Games Of Nations),agon-ancient-games-of-nations,,,
597,Mario Builder,mario-builder,,,
349,Orochi,orochi,,,
692,ElectronJS,electronjs,,,
1770,CraftStudio,craftstudio,,,
780,ExHibit,exhibit,,,
117,Quantic Dream Engine,quantic-dream-engine,,,
1046,GGMax,ggmax,,,
1056,Super Monkey Ball Engine,super-monkey-ball-engine,,,
141,PainEngine,painengine,,,
189,AtmosFear,atmosfear,,,
1191,Flambe,flambe,,,
739,Quicksilver X Engine,quicksilver-x-engine,,,
1226,egene,egene,,,
262,Alchemy,alchemy,,,
