id,name,deck,image,genres,site_detail_url,genre_names,genre_count,image_url
11,Red Baron II,"Red Baron II has a lot to offer, but its rushed shipment makes for a game that's appealing only to those sim fans willing to deal with quirks and inconsistencies while awaiting patches.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/3/2/7/7/2213277-red_baron_2_a.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/3/2/7/7/2213277-red_baron_2_a.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/3/2/7/7/2213277-red_baron_2_a.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/3/2/7/7/2213277-red_baron_2_a.jpg'}","[{'name': 'Flight'}, {'name': 'Simulation'}]",https://www.gamespot.com/red-baron-ii/,"['Flight', 'Simulation']",2,
12,Earthworm Jim,"It's a video game, it's a cartoon, it's a toy, it's a lunch box, and now it's a PC CD-ROM game.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/4/4/4/4/2214444-genesis_earthwormjim.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/4/4/4/4/2214444-genesis_earthwormjim.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/4/4/4/4/2214444-genesis_earthwormjim.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/4/4/4/4/2214444-genesis_earthwormjim.jpg'}","[{'name': '2D'}, {'name': 'Action'}, {'name': 'Platformer'}]",https://www.gamespot.com/earthworm-jim/,"['2D', 'Action', 'Platformer']",3,
13,Close Combat,"A typical day at the beach: the sand under your feet, the roar of the surf... and the ripping sound of German machine guns as they cut your troops to pieces.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/2/5/7/9/2212579-battle.png', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/2/5/7/9/2212579-battle.png', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/2/5/7/9/2212579-battle.png', 'original': 'https://www.gamespot.com/a/uploads/original/mig/2/5/7/9/2212579-battle.png'}","[{'name': 'Real-Time'}, {'name': 'Strategy'}]",https://www.gamespot.com/close-combat/,"['Real-Time', 'Strategy']",2,
14,Outlaws,"From the opening level, you'll know you're in for a movie-worthy experience.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/9/5/3/6/2209536-250px_outlawslucasartsboxcover.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/9/5/3/6/2209536-250px_outlawslucasartsboxcover.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/9/5/3/6/2209536-250px_outlawslucasartsboxcover.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/9/5/3/6/2209536-250px_outlawslucasartsboxcover.jpg'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'First-Person'}, {'name': 'Shooter'}]",https://www.gamespot.com/outlaws/,"['3D', 'Action', 'First-Person', 'Shooter']",4,
15,Diablo,"Diablo is the best game to come out in the past year, and you should own a copy. Period.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/1/8/0/1/2211801-diablo.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/1/8/0/1/2211801-diablo.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/1/8/0/1/2211801-diablo.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/1/8/0/1/2211801-diablo.jpg'}","[{'name': 'Action'}, {'name': 'Role-Playing'}]",https://www.gamespot.com/diablo/,"['Action', 'Role-Playing']",2,
16,Star Wars: Dark Forces,"To its credit, Dark Forces is a good game that doesn't ""play itself"" like the Rebel Assault games do.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/1/1/0/16-110.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/1/1/0/16-110.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/1/1/0/16-110.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/1/1/0/16-110.jpg'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'First-Person'}, {'name': 'Shooter'}]",https://www.gamespot.com/star-wars-dark-forces/,"['3D', 'Action', 'First-Person', 'Shooter']",4,
17,Scrabble (1996),Scrabble was made for computer play.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/1/2/2/17-122.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/1/2/2/17-122.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/1/2/2/17-122.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/1/2/2/17-122.jpg'}",[{'name': 'Trivia/Board Game'}],https://www.gamespot.com/scrabble-1996/,['Trivia/Board Game'],1,
18,You Don't Know Jack: Sports,I'm pleased to report that they've truly hit the long ball once again.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/9/6/9/0/2209690-sports.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/9/6/9/0/2209690-sports.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/9/6/9/0/2209690-sports.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/9/6/9/0/2209690-sports.jpg'}",[{'name': 'Trivia/Board Game'}],https://www.gamespot.com/you-dont-know-jack-sports/,['Trivia/Board Game'],1,
19,Risk,The best computerized version of Risk yet.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/1/2/5/19-125.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/1/2/5/19-125.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/1/2/5/19-125.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/1/2/5/19-125.jpg'}",[{'name': 'Trivia/Board Game'}],https://www.gamespot.com/risk/,['Trivia/Board Game'],1,
20,Starcraft,"It doesn't stray far from the blueprint created by its predecessors, but it is, without a doubt, the best game to ever adhere to that formula.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/5/4/1/6/2215416-starcraft_box_art.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/5/4/1/6/2215416-starcraft_box_art.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/5/4/1/6/2215416-starcraft_box_art.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/5/4/1/6/2215416-starcraft_box_art.jpg'}","[{'name': 'Real-Time'}, {'name': 'Strategy'}]",https://www.gamespot.com/starcraft/,"['Real-Time', 'Strategy']",2,
21,Master of Orion 3,Master of Orion III is a disappointing follow-up to the two most significant space empire games ever.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/1/3/1/21-131.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/1/3/1/21-131.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/1/3/1/21-131.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/1/3/1/21-131.jpg'}","[{'name': 'Strategy'}, {'name': 'Turn-Based'}]",https://www.gamespot.com/master-of-orion-3/,"['Strategy', 'Turn-Based']",2,
22,Tomb Raider (1996),"Tomb Raider is simply a smart game, bursting with great touches.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/1/3/4/22-134.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/1/3/4/22-134.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/1/3/4/22-134.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/1/3/4/22-134.jpg'}","[{'name': 'Action'}, {'name': 'Adventure'}]",https://www.gamespot.com/tomb-raider-1996/,"['Action', 'Adventure']",2,
23,The Curse of Monkey Island,"Like its predecessors, The Curse of Monkey Island has all the makings of a classic.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/1/6/7/1/2211671-curse_of_monkey_island_box_front_6552x8298.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/1/6/7/1/2211671-curse_of_monkey_island_box_front_6552x8298.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/1/6/7/1/2211671-curse_of_monkey_island_box_front_6552x8298.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/1/6/7/1/2211671-curse_of_monkey_island_box_front_6552x8298.jpg'}",[{'name': 'Adventure'}],https://www.gamespot.com/the-curse-of-monkey-island/,['Adventure'],1,
24,Interstate '76,Interstate '76 is an incredible gaming experience and offers countless hours of enjoyment for those who are willing to face up to its challenge.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/1/4/2/1/2211421-i76_cover_small.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/1/4/2/1/2211421-i76_cover_small.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/1/4/2/1/2211421-i76_cover_small.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/1/4/2/1/2211421-i76_cover_small.jpg'}",[{'name': 'Simulation'}],https://www.gamespot.com/interstate-76/,['Simulation'],1,
25,NASCAR Racing 2,Allow me to make one crucial point: NASCAR 2 is not a toy.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/9/9/6/5/2209965-nascar2_cover.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/9/9/6/5/2209965-nascar2_cover.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/9/9/6/5/2209965-nascar2_cover.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/9/9/6/5/2209965-nascar2_cover.jpg'}","[{'name': 'Driving/Racing'}, {'name': 'Simulation'}]",https://www.gamespot.com/nascar-racing-2/,"['Driving/Racing', 'Simulation']",2,
26,The Elder Scrolls: Chapter II - Daggerfall,Someone has finally returned to the RPGs of the old school and created an adventure that will take even the most experienced gamer months to unravel.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/1/5/9/26-159.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/1/5/9/26-159.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/1/5/9/26-159.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/1/5/9/26-159.jpg'}",[{'name': 'Role-Playing'}],https://www.gamespot.com/the-elder-scrolls-chapter-ii-daggerfall/,['Role-Playing'],1,
27,Chronicles of the Sword,Chronicles of the Sword takes a classic approach to a classic story&#151;and manages to accomplish very little in the process.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/8/6/5/3/2218653-chronicles_of_the_sword___1996___psygnosis_limited.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/8/6/5/3/2218653-chronicles_of_the_sword___1996___psygnosis_limited.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/8/6/5/3/2218653-chronicles_of_the_sword___1996___psygnosis_limited.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/8/6/5/3/2218653-chronicles_of_the_sword___1996___psygnosis_limited.jpg'}",[{'name': 'Adventure'}],https://www.gamespot.com/chronicles-of-the-sword/,['Adventure'],1,
29,Falcon 4.0,,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/6/2/0/8/2216208-falcon_4_cover.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/6/2/0/8/2216208-falcon_4_cover.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/6/2/0/8/2216208-falcon_4_cover.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/6/2/0/8/2216208-falcon_4_cover.jpg'}","[{'name': 'Flight'}, {'name': 'Simulation'}]",https://www.gamespot.com/falcon-4-0/,"['Flight', 'Simulation']",2,
30,Ultimate Yahtzee,Strictly for loners who love the original dice game.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/5/1/0/7/2215107-spg825247006000_100.gif', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/5/1/0/7/2215107-spg825247006000_100.gif', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/5/1/0/7/2215107-spg825247006000_100.gif', 'original': 'https://www.gamespot.com/a/uploads/original/mig/5/1/0/7/2215107-spg825247006000_100.gif'}",[{'name': 'Trivia/Board Game'}],https://www.gamespot.com/ultimate-yahtzee/,['Trivia/Board Game'],1,
31,Dark Reign: The Future of War,One of the most impressive games released this year in any genre.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/6/5/0/1/2216501-dark_reign.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/6/5/0/1/2216501-dark_reign.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/6/5/0/1/2216501-dark_reign.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/6/5/0/1/2216501-dark_reign.jpg'}","[{'name': 'Real-Time'}, {'name': 'Strategy'}]",https://www.gamespot.com/dark-reign-the-future-of-war/,"['Real-Time', 'Strategy']",2,
32,Rebel Moon Rising,,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/8/9/2/4/2208924-rebmoon.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/8/9/2/4/2208924-rebmoon.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/8/9/2/4/2208924-rebmoon.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/8/9/2/4/2208924-rebmoon.jpg'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'First-Person'}, {'name': 'Shooter'}]",https://www.gamespot.com/rebel-moon-rising/,"['3D', 'Action', 'First-Person', 'Shooter']",4,
33,Rocket Jockey,You won't be disappointed with this novel new title.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/3/9/7/3/2213973-rocketjockeybox.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/3/9/7/3/2213973-rocketjockeybox.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/3/9/7/3/2213973-rocketjockeybox.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/3/9/7/3/2213973-rocketjockeybox.jpg'}","[{'name': 'Arcade'}, {'name': 'Driving/Racing'}]",https://www.gamespot.com/rocket-jockey/,"['Arcade', 'Driving/Racing']",2,
34,Leisure Suit Larry: Love for Sail!,"Unless you're the proud owner of the Three's Company box set, this game will likely get old quick.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/4/7/4/9/2214749-love_for_sail.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/4/7/4/9/2214749-love_for_sail.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/4/7/4/9/2214749-love_for_sail.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/4/7/4/9/2214749-love_for_sail.jpg'}",[{'name': 'Adventure'}],https://www.gamespot.com/leisure-suit-larry-love-for-sail/,['Adventure'],1,
35,Redneck Rampage,"Though the tabloid alien-abduction plot feels a bit dated, there's more than enough splatter and gags to compensate.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/5/5/6/5/2215565-redneck_rampage_cheats_pc_2_1_.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/5/5/6/5/2215565-redneck_rampage_cheats_pc_2_1_.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/5/5/6/5/2215565-redneck_rampage_cheats_pc_2_1_.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/5/5/6/5/2215565-redneck_rampage_cheats_pc_2_1_.jpg'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'First-Person'}, {'name': 'Shooter'}]",https://www.gamespot.com/redneck-rampage/,"['3D', 'Action', 'First-Person', 'Shooter']",4,
36,Man of War,"The developers were headed in the right direction, but in the end they fail on both fronts.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/1/8/0/36-180.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/1/8/0/36-180.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/1/8/0/36-180.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/1/8/0/36-180.jpg'}",[{'name': 'Strategy'}],https://www.gamespot.com/man-of-war/,['Strategy'],1,
37,X-COM: Apocalypse,This is almost the X-COM sequel that folks have been hoping for.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/1/1/6/6/2211166-apocalypse.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/1/1/6/6/2211166-apocalypse.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/1/1/6/6/2211166-apocalypse.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/1/1/6/6/2211166-apocalypse.jpg'}","[{'name': 'Strategy'}, {'name': 'Turn-Based'}]",https://www.gamespot.com/x-com-apocalypse/,"['Strategy', 'Turn-Based']",2,
38,A-10 Cuba!,"Longtime flight-sim fans will take to the realism of A-10 Cuba! like ducks to water, and forgive it its shortcomings.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/5/0/2/1/2215021-a_10_cuba__coverart.png', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/5/0/2/1/2215021-a_10_cuba__coverart.png', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/5/0/2/1/2215021-a_10_cuba__coverart.png', 'original': 'https://www.gamespot.com/a/uploads/original/mig/5/0/2/1/2215021-a_10_cuba__coverart.png'}","[{'name': 'Flight'}, {'name': 'Simulation'}]",https://www.gamespot.com/a-10-cuba/,"['Flight', 'Simulation']",2,
39,Star Wars Jedi Knight: Dark Forces II,Arguably the best single-player first-person shooter since Doom.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/1/8/5/39-185.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/1/8/5/39-185.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/1/8/5/39-185.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/1/8/5/39-185.jpg'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'First-Person'}, {'name': 'Shooter'}]",https://www.gamespot.com/star-wars-jedi-knight-dark-forces-ii/,"['3D', 'Action', 'First-Person', 'Shooter']",4,
40,Riven: The Sequel to Myst,"It's a leisurely paced, all-encompassing, mentally challenging experience. If you enjoyed Myst, you'll thoroughly enjoy Riven.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/6/9/8/0/2216980-6846.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/6/9/8/0/2216980-6846.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/6/9/8/0/2216980-6846.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/6/9/8/0/2216980-6846.jpg'}","[{'name': '3D'}, {'name': 'Adventure'}, {'name': 'First-Person'}]",https://www.gamespot.com/riven-the-sequel-to-myst/,"['3D', 'Adventure', 'First-Person']",3,
42,Heavy Gear,"With the exception of its lacking originality, Heavy Gear contains all the elements of a successful game and is certainly the finest game of its kind in many months.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/5/3/2/6/2215326-heavygear_activision.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/5/3/2/6/2215326-heavygear_activision.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/5/3/2/6/2215326-heavygear_activision.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/5/3/2/6/2215326-heavygear_activision.jpg'}",[{'name': 'Simulation'}],https://www.gamespot.com/heavy-gear/,['Simulation'],1,
43,Warcraft Adventures: Lord of the Clans,,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/9/6/6/4/2219664-250px_warcraft_adventures_boxart.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/9/6/6/4/2219664-250px_warcraft_adventures_boxart.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/9/6/6/4/2219664-250px_warcraft_adventures_boxart.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/9/6/6/4/2219664-250px_warcraft_adventures_boxart.jpg'}",[{'name': 'Adventure'}],https://www.gamespot.com/warcraft-adventures-lord-of-the-clans/,['Adventure'],1,
